# Google AI Studio 앱 전체 카탈로그 (kubony@gmail.com Drive / Google AI Studio 폴더)
# 수집일: 2026-08-17 / 총 163개 / mimeType: application/vnd.google-makersuite.applet+zip
# 열: id, created(YYYY-MM-DD), size(bytes), kind, group, pick, title
# kind: game=게임, app=앱, tool=단발성 AI 도구
# pick: Y=엄선 후보, D=중복(같은 group의 하위 버전), X=제외, S=사이트에 이미 있음
#
# AI Studio에서 특정 앱 열기 (id를 넣어 URL 생성):
#   https://aistudio.google.com/app/prompts?state=<urlencode({"ids":["<id>"],"action":"open","userId":"107990792917239213278","resourceKeys":{}})>
# 예) node -e 'const id=process.argv[1];console.log("https://aistudio.google.com/app/prompts?state="+encodeURIComponent(JSON.stringify({ids:[id],action:"open",userId:"107990792917239213278",resourceKeys:{}})))' <id>
id	created	size	kind	group	pick	title
1jAsFkRpQDkUHDqFwn0mF4qYtrk1wKYj2	2026-01-04	6260	app	misc	X	Roleplay Storyboard Maker
1kDQk3nBRUHt_Mo8NGe6y_OeDHxkLy79E	2025-10-29	18492	app	misc	X	일상 그림 작성기
1ukUXrAH_BRq9pe_IkG-tSqpdAL-vhr-G	2025-12-28	10117	game	animalcrossing	S	모여봐요 동물의 숲 (Web Ver.)
1cn2s6OjESlaiBZ0de-39Q-f7NBqDPGYY	2025-12-28	9342	game	animalcrossing	S	Animal Crossing: Web Horizon
1bkYx43iu8iTJHeEGjtrS18aHJ-85Jfkc	2025-12-12	11618	app	misc	X	Pixelcloud - SaaS Template
1E63RHvV3c7v-EIPRJEVnc70MwJyiLDIb	2025-12-12	7370	tool	misc	X	Apple-Style Corner Comparator
1j-ZCgSrMeHj8Hzp8Bhg1apgrHSZMZt7h	2025-12-09	20365	app	misc	X	Pokémon UNITE: Evolved
1R1U2kvtBYt7vVrUk9J_xnj7yhUrI9-6D	2025-12-08	6436	app	misc	X	App
1CJZyQ6aAFw1DGDFGq6sYMmUnrfeFq_lU	2025-12-07	34745	game	puyo	Y	뿌요뿌요2 - 상혁
182XIIfpDii6_T7opZJWmZUktLr2PWzvR	2025-12-04	34743	game	puyo	Y	뿌요뿌요2 - 인혁
1X7FYLhzx_VIHawDPj5y3TozkoJmccX-_	2025-12-06	30789	game	puyo	Y	뿌요뿌요2 - 아빠
1_1NwWUgpjYOhupKEU0m04RMBhlzprMt_	2025-12-06	8062	game	maze	Y	Pixel Maze Runner
1aKxMgAb1VafkwU1ZijdwTUDJyPHRW_CX	2025-12-06	9939	game	tag	Y	Super Tag Arena
1ZKI5ATpTEET_pe5HzEJtA4jLb9evTGCr	2025-12-05	10318	game	pet	Y	AI 3D Slime Pet
10LnkjuVcN9SPsv9YYrlzYdhhMQUef31p	2025-12-05	7930	game	pet	D	AI 3D Slime Pet
1Hvs6vv6ZdnqrEeKzjZeV-CLbV_GulGwi	2025-12-04	11019	game	fps	Y	네온 라비린스 (Neon Labyrinth)
1wpQwTIDNOMNwvi9vVekOUQ_SWSJV38nO	2025-11-21	25813	game	diepio	S	Diep.io (겁내 쩔음) 업데이트 돼서 좋다ㅎㅎ
1w6wn3w3nIjOg85HZrKamSWV8eMoEOLUx	2025-11-23	11320	game	td	S	Neon Defense AI
1XHveN_uQveHnucgLW39YE3YO0Pe9OGV6	2025-11-22	9563	game	undertale	S	Undertale Web Tribute
1U_BIUoF8zL7nDLRUemwdCjHPd-ib0qQt	2025-11-22	11135	game	coop	Y	Pico Pair: Co-op Platformer
1cYrqF9Ej-QpuNFQPZGJWRIlvWn1RXKH6	2025-11-21	10431	game	platformer	Y	Neon Bounce Ball
1_WV7t9fllXY12T4QMdYMcE9I-g6J-_Kx	2025-11-21	8979	game	jump	D	AI Infinity Jump
17oWZyVZSybefSWjD_dQmA29o-DNLW8jl	2025-11-21	8652	game	minecraft3d	D	ReactCraft
1AffEW5gRPS-n9fqSsfhwM_P636xmnD1I	2025-11-21	9575	game	fps	D	발로란트
1xynVuiBJihwvCqiCwqsnsc7Ejvdn2yxV	2025-11-20	24398	game	diepio	D	퀄리티 쩌는 Diep io.
1lMcxjnSzDaultcjJYuZB488SbQVECPRk	2025-11-21	18204	game	diepio	D	Diep.ai - 전술 탱크 전쟁
1l6u8xyz97hl1sB50ynzT7wwH6ldtsy6l	2025-11-20	19640	game	minecraft2d	S	2D마인크레프트
1yCH4jmSpSIHqplTXggcPdIJNHmEqku-Y	2025-11-20	9915	game	undertale	D	Under-AI: Tale of the Gemini
1N5DfVMU1pPiHYQeJpoxJDRNNCkYekBNX	2025-11-20	11887	game	animalcrossing	S	동물의숲
1fXeLhDzKV6pTh6wS_-HmUL4gw5wMRO77	2025-11-20	22363	game	diepio	D	Copy of 퀄리티 쩌는 Diep io.
1v7iEpKg8u5G0KJ-D9bb8l7-GMoY9mF8k	2025-11-20	7261	game	platformer	D	Neon Leaper
1cTw9MtRrCGPKGVphVxIbYLJlLliUboRh	2025-11-19	13304	app	portal	Y	Poki AI Arcade
1yRbQ2uKfOHz5MLp4ZnIGS9PgM0cfn-Pi	2025-11-19	7634	game	parktycoon	D	놀이동산 타이쿤
1CQ0GXP3ZKiECtUkaMPmtEM2h8NOEwZQF	2025-11-19	9206	game	minecraft2d	D	ReactCraft 2D
1mG9HK24fwq4m-0b4pNvbnC-wtBLHM_sc	2025-11-19	9059	game	minecraft2d	D	2D Craft & Guide
1RRA0iSLqED-rnLlN0Jgdy5a8BcVzQvHd	2025-11-19	10590	game	hotel	D	Gemini Hotel Tycoon
1cJW590mXri9QlucePbTi6GHRH5Jtl2cZ	2025-11-19	12810	game	hotel	D	AI Hotel Tycoon
1oQcKoqb4cN9oIdbm7jfbRJh_7BV89_kh	2025-11-19	11739	game	hotel	D	AI Hotel Tycoon
1O8IKzF1jHQd_0zO2Z8B7BgILDMcGlI7Y	2025-11-19	10394	game	hotel	D	AI Hotel Tycoon
1J_w_RG3O70WE53wSrV11b-mI8lUq5gXx	2025-11-19	13859	game	parktycoon	Y	Dream Park Tycoon AI
1Jm7pU1HhmH3dkGxOoCA10X78h9HQB-w9	2025-11-19	15781	game	pvp	Y	Elemental Arena PvP
